filename,label
test2/a7fd17bf2eeb85132a1390dcfd052624.xls,城乡建设
test2/辽阳市辽阳县省执法证件信息_.csv,政法监察
test2/邯郸市成安县常住人口.csv,经济管理
test2/e09b5a9fd3166849eab76945e036d3c5.xls,教育科技
test2/ffa49ad5e4d079e2e0b669ab9d76fc7b.xls,工业
test2/吉林省延边朝鲜族自治州敦化市省城市空气质量发布数据_上饶市.csv,生态环境
test2/05a47aad22bab7fd1f45eeed43220b66.xls,医疗卫生
test2/太和区区法人行政处罚数据.csv,文秘行政
test2/307e2f9ce90ef0ada0a1235a6e4c4dcc.xls,生态环境
test2/济南市兰州市红古区区国有企业含参股企业名录_.csv,工业
test2/8ab0164362fa7cab98e01858604f9d10.xls,教育科技
test2/49537a65cdf7730b2454564d1388aed3.csv,交通运输
test2/鞍山市铁西区市国有演出剧场情况.csv,文化休闲
test2/fba5438a05168c1ce951c6f3b573e200.csv,城乡建设
test2/绥江县市道路运输车辆综合性能检测机构名单_.xls,交通运输
test2/富蕴县常住人口.csv,经济管理
test2/2eebf9b68cc96ae55e7dd6da1f30d38a.csv,气象水文测绘地震地理
test2/149a1d55ba379ec938b02257935ccd88.xls,交通运输
test2/邢台市平乡县常住人口.csv,经济管理
test2/0c089377e7a45465bcda2181b5eef014.xls,财税金融
test2/ba67232d3b89085f0d5470763326936a.csv,生态环境
test2/9cd9c13541ceaf0e45139c81cb5d7775.xls,城乡建设
test2/599b4248927c1b427d206ff73e71eed3.xls,教育科技
test2/ba684368501912250b0ebb03f8d7490e.csv,政法监察
test2/4d9efc671bd417a48b67ec85d3637bb9.xls,城乡建设
test2/小店区省执法证件信息_.csv,政法监察
test2/288e59a4d10a4ace028b60082fb8c592.xls,工业
test2/白山市浑江区省人防资质监理企业名录.csv,工业
test2/辽源市西安区区职业学校一览表.csv,教育科技
test2/清远市重庆市潼南区省名牌产品工业类称号信息_.xls,工业
test2/全省公共图书馆文化馆评估定级信息_金州区.csv,文化休闲
test2/48ffadbb5e7750f84d59efe95783d218.xls,农业畜牧业
test2/定西市岷县市道路运输车辆综合性能检测机构名单_.xls,交通运输
test2/全省公共图书馆文化馆评估定级信息_临汾市蒲县.csv,文化休闲
test2/084aad8c4e68b664b354f775c133f749.csv,财税金融
test2/全省公共图书馆文化馆评估定级信息_吕梁市文水县.csv,文化休闲
test2/辽宁省辽阳市白塔区县法人行政处罚数据.csv,文秘行政
test2/太和区区职业学校一览表.csv,教育科技
test2/延边朝鲜族自治州市国内旅行社业务经营许可证信息_.xls,旅游服务
test2/湖南省岳阳市云溪区农林牧渔业产值.csv,农业畜牧业
test2/县级公共图书馆文化馆总分馆制信息_宁县.csv,文化休闲
test2/云南省昆明市宜良县市医疗器械三类生产经营许可备案.csv,医疗卫生
test2/济宁市辽宁省沈阳市铁西区县残疾人联合会_残疾人证办理_.csv,医疗卫生
test2/309c17f8e5fa6a30fc7748e15b5d89d0.xls,生态环境
test2/6723dfbc76c23d855fce17a4953bb5f1.csv,财税金融
test2/文水县市全国工业产品生产许可证获证企业非食品类信息_.xls,工业
test2/bec4e028b052b7f06ed2c9e0b2105ac6.xls,城乡建设
test2/a168bdcff37489c00e9de44569159a0c.xls,工业
test2/7276aa3a21f050483b3beae1c16c1d5e.xls,教育科技
test2/e9eb25f1379e200332690d4627d1d63e.xls,城乡建设
test2/定西市陇西县区职业学校一览表.csv,教育科技
test2/0789f76cd9f57edd73744c080cd32893.xls,教育科技
test2/清远市集安市省名牌产品工业类称号信息_.xls,工业
test2/cbc5454aa0b39ad1d008cbb1ed24d449.xls,医疗卫生
test2/ba8fcac5e1a0152f15227f0386ea5843.xls,交通运输
test2/ab33315b2d93c314f14f01389a0c418a.xls,生态环境
test2/平凉市庄浪县区职业学校一览表 .csv,教育科技
test2/云南省临沧市临翔区区法人行政处罚数据.csv,文秘行政
test2/8060f55fc00f992ba7f8b406f4a4c2df.csv,城乡建设
test2/5272ee8b7d6a1565f6ef8a037ed0248a.xls,劳动人事
test2/辽宁省铁岭市市全国工业产品生产许可证获证企业非食品类信息_.xls,工业
test2/设立经营性互联网文化单位审批_盘龙区.csv,文化休闲
test2/山西省忻州市静乐县区法人行政许可数据.csv,文秘行政
test2/朔州市平鲁区市广东省名牌产品工业类称号信息_.xls,工业
test2/沈阳市苏家屯区市广东省名牌产品工业类称号信息_.xls,工业
test2/酒泉市肃北蒙古族自治县市国有演出剧场情况.csv,文化休闲
test2/济宁市云南省昭通市县残疾人联合会_残疾人证办理_.csv,医疗卫生
test2/长治市屯留县省城市空气质量发布数据_上饶市.csv,生态环境
test2/855b83f3b245a5c3cee3b3ecfc109c37.xls,医疗卫生
test2/b0b1ea8ff35db7dbcf0780f58179d64a.xls,城乡建设
test2/娄烦县区职业学校一览表.csv,教育科技
test2/宜章县历年地区生产总值.csv,经济管理
test2/56364c46ebaf6c62d183262deb3d81a7.csv,工业
test2/济宁市红河哈尼族彝族自治州弥勒市县残疾人联合会_残疾人证办理_.csv,医疗卫生
test2/6e41ade19a913a4ade6dc7cd7796c6a7.xls,教育科技
test2/e51ee008462686b9c61aa706fbb2cd23.xls,教育科技
test2/吉林省白城市通榆县区法人行政许可数据.csv,文秘行政
test2/清远市重庆市市辖区省名牌产品工业类称号信息_.xls,工业
test2/临夏回族自治州和政县市国有演出剧场情况.csv,文化休闲
test2/辽宁省大连市中山区市国有演出剧场情况.csv,文化休闲
test2/龙华区农林牧渔业产值.csv,农业畜牧业
test2/90438b7fc45b43f6da5661230980f50c.xls,教育科技
test2/efcf6c83d03e19cbf2006b2f54fd563c.xls,医疗卫生
test2/6ff65e3e2745550f3944c8259a1032c0.xls,工业
test2/临沧市沧源佤族自治县市全国工业产品生产许可证获证企业非食品类信息_.xls,工业
